# RaceRender Data: TrackAddict 4.3.5 on Android 9 [samsung SM-N960F] (Mode: 0)
# End Point: 51.99907, 13.68830  @ -1.00 deg
# GPS: Android; Mode: Android
# User Settings: SL1;U1;AS1;LT1/1;EC0;VC-1;VQ3;VS0;VSOIS0;VIF1
# Device Free Space: 92967 MB
"Time","UTC Time","Lap","Predicted Lap Time","Predicted vs Best Lap","GPS_Update","GPS_Delay","Latitude","Longitude","Altitude (m)","Altitude (ft)","Speed (Km/h)","Heading","Accuracy (m)","Accel X","Accel Y","Accel Z","Brake (calculated)","Barometric Pressure (kPa)","Pressure Altitude (m)"
0.000,1559734111.000,0,0,0,1,0.000,51.9993282,13.6881675,91.1,299,0.0,0.0,6.0,0.00,-0.00,-0.00,1,100.44,74.1
0.008,1559734111.008,0,0,0,0,0.000,51.9993282,13.6881675,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.060,1559734111.060,0,0,0,0,0.000,51.9993282,13.6881675,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.111,1559734111.111,0,0,0,0,0.000,51.9993282,13.6881675,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.159,1559734111.159,0,0,0,0,0.000,51.9993282,13.6881675,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.210,1559734111.210,0,0,0,0,0.000,51.9993282,13.6881675,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.239,1559734111.239,0,0,0,1,0.000,51.9993283,13.6881679,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.293,1559734111.293,0,0,0,0,0.000,51.9993283,13.6881679,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.340,1559734111.340,0,0,0,0,0.000,51.9993283,13.6881679,91.1,299,0.0,0.0,6.0,-0.00,-0.00,0.00,1,100.44,74.1
0.390,1559734111.390,0,0,0,0,0.000,51.9993283,13.6881679,91.1,299,0.0,0.0,6.0,0.00,-0.00,0.00,1,100.44,74.1
0.440,1559734111.440,0,0,0,0,0.000,51.9993283,13.6881679,91.1,299,0.0,0.0,6.0,0.00,-0.00,-0.00,1,100.44,74.1
